Nom,SKU ID,Description Marketing,Image,Fournisseur,Product ID,Plan ID,GUID,Facturation,Engagement,Apps incluses,Apps type,Prix
Microsoft Entra ID  Basic N0,Azure-Active-Directory-Basic--n0,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,AzureActiveDirectory-isvfr,Monthly-Plan-n0,,Mensuel,,,,
Microsoft Entra ID  Basic N0,Azure-Active-Directory-Basic--n0,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,AzureActiveDirectory-isvfr,Annual-Plan-n0,,Annuel,,,,
Microsoft Entra ID  Premium,Azure-Active-Directory-Premium-P,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,AzureActiveDirectory-isvfr,Monthly-Plan-n1,,Mensuel,,,,
Microsoft Entra ID  Premium,Azure-Active-Directory-Premium-P,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,AzureActiveDirectory-isvfr,Annual-Plan-n1,,Annuel,,,,
Microsoft Entra ID  Premium N0,Azure-Active-Directory-Premiu-n0,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,AzureActiveDirectory-isvfr,Monthly-Plan-n2,,Mensuel,,,,
Microsoft Entra ID  Premium N0,Azure-Active-Directory-Premiu-n0,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,AzureActiveDirectory-isvfr,Annual-Plan-n2,,Annuel,,,,
Microsoft Entra ID  Premium N0,sku--Azure-Active-Directory-P-n0,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,AzureActiveDirectory-isvfr,Monthly-Plan-n3,,Mensuel,,,,
Microsoft Entra ID  Premium N0,sku--Azure-Active-Directory-P-n0,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,AzureActiveDirectory-isvfr,Annual-Plan-n3,,Annuel,,,,
Microsoft Entra ID  Premium N1,sku--Azure-Active-Directory-P-n1,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,AzureActiveDirectory-isvfr,Monthly-Plan-n4,,Mensuel,,,,
Microsoft Entra ID  Premium N1,sku--Azure-Active-Directory-P-n1,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,AzureActiveDirectory-isvfr,Annual-Plan-n4,,Annuel,,,,
Microsoft Entra ID  Premium N1,Azure-Active-Directory-Premiu-n1,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,AzureActiveDirectory-isvfr,Monthly-Plan-n5,,Mensuel,,,,
Microsoft Entra ID  Premium N1,Azure-Active-Directory-Premiu-n1,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,AzureActiveDirectory-isvfr,Annual-Plan-n5,,Annuel,,,,
Microsoft Entra ID  Premium N2,sku--Azure-Active-Directory-P-n2,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,AzureActiveDirectory-isvfr,Monthly-Plan-n6,,Mensuel,,,,
Microsoft Entra ID  Premium N2,sku--Azure-Active-Directory-P-n2,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,AzureActiveDirectory-isvfr,Annual-Plan-n6,,Annuel,,,,
Microsoft Entra ID  Premium N2,Azure-Active-Directory-Premiu-n2,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,AzureActiveDirectory-isvfr,Monthly-Plan-n7,,Mensuel,,,,
Microsoft Entra ID  Premium N2,Azure-Active-Directory-Premiu-n2,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,AzureActiveDirectory-isvfr,Annual-Plan-n7,,Annuel,,,,
Microsoft Entra ID  Premium N3,Azure-Active-Directory-Premiu-n3,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,AzureActiveDirectory-isvfr,Monthly-Plan-n8,,Mensuel,,,,
Microsoft Entra ID  Premium N3,Azure-Active-Directory-Premiu-n3,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,AzureActiveDirectory-isvfr,Annual-Plan-n8,,Annuel,,,,
Microsoft Entra ID  Premium N3,sku--Azure-Active-Directory-P-n3,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,AzureActiveDirectory-isvfr,Monthly-Plan-n9,,Mensuel,,,,
Microsoft Entra ID  Premium N3,sku--Azure-Active-Directory-P-n3,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,AzureActiveDirectory-isvfr,Annual-Plan-n9,,Annuel,,,,
Microsoft Entra ID  Premium N4,Azure-Active-Directory-Premiu-n4,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,AzureActiveDirectory-isvfr,Monthly-Plan-n10,,Mensuel,,,,
Microsoft Entra ID  Premium N4,Azure-Active-Directory-Premiu-n4,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,AzureActiveDirectory-isvfr,Annual-Plan-n10,,Annuel,,,,
Microsoft Entra ID  Premium N5,Azure-Active-Directory-Premiu-n5,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,AzureActiveDirectory-isvfr,Monthly-Plan-n11,,Mensuel,,,,
Microsoft Entra ID  Premium N5,Azure-Active-Directory-Premiu-n5,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,AzureActiveDirectory-isvfr,Annual-Plan-n11,,Annuel,,,,
Microsoft Entra ID  Premium N6,Azure-Active-Directory-Premiu-n6,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,AzureActiveDirectory-isvfr,Monthly-Plan-n12,,Mensuel,,,,
Microsoft Entra ID  Premium N6,Azure-Active-Directory-Premiu-n6,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,AzureActiveDirectory-isvfr,Annual-Plan-n12,,Annuel,,,,
Microsoft Entra ID  Basic,Azure-Active-Directory-Basic,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,AzureActiveDirectory-isvfr,Monthly,,Mensuel,,,,
Microsoft Entra ID  Basic,Azure-Active-Directory-Basic,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,AzureActiveDirectory-isvfr,Annual,,Annuel,,,,
Microsoft Entra ID  Premium N7,Azure-Active-Directory-Premiu-n7,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,AzureActiveDirectory-isvfr,Monthly-n0,,Mensuel,,,,
Microsoft Entra ID  Premium N7,Azure-Active-Directory-Premiu-n7,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,AzureActiveDirectory-isvfr,Annual-n0,,Annuel,,,,
